number,name,address,lat,lng,
43003,43003 - PARIS 2 (VINCENNES),104 AVENUE DE PARIS - 94300 VINCENNES,48.8457199009, 2.42740630276,
21103,21103 - HUGO (CLICHY),94-98 BOULEVARD VICTOR HUGO - 92110 CLICHY,48.9014601568, 2.31712992066,
13013,13013 - SAINT MARCEL,3 BD SAINT MARCEL - 75013 PARIS,48.8395044246, 2.36098941702,
32001,32001 - PROUDHON (SAINT DENIS),AVENUE PRESIDENT WILSON / RUE PROUDHON - 93200 SAINT DENIS,48.9064693732, 2.35844205395,
43002,43002 - LAGNY (VINCENNES),1 BIS RUE DE LAGNY - 94300 VINCENNES,48.848879019, 2.42619842213,
42004,42004 - WESTERMEYER - QUAIS D'IVRY (IVRY),FACE AU 5 RUE WESTERMEYER ET 30 BD PAUL VAILLANT COUTURIER -  94200 IVRY SUR SEINE,48.8190295, 2.396602,
8053,08053 - FRIEDLAND,PLACE GEORGES GUILLAUMIN - 75008 PARIS,48.874750204, 2.30177143533,
32004,32004 - BAILLY (SAINT DENIS),AVENUE DU PRESIDENT WILSON/ RUE DE BAILLY - 93200 SAINT DENIS,48.9151986424, 2.35750068369,
31001,31001 - LAGNY (MONTREUIL),96 RUE DE LAGNY - 93100 MONTREUIL,48.8492303009, 2.42142994001,
10022,10022 - CHABROL SAINT QUENTIN,FACE 124 RUE DU FAUBOURG SAINT DENIS - 75010 PARIS,48.8768669058, 2.35611908299,
19040,19040 - TELEGRAPHE,265 RUE DE BELLEVILLE - 75019 PARIS,48.8756361807, 2.39946145198,
14021,14021 - PLACE DE LA PORTE DE CHATILLON,BOULEVARD BRUNE PORTE DE CHATILLON - 75014 PARIS,48.8244897025, 2.31844743105,
13114,13114 - NATIONALE DUCHAMP (PROP 1),46 RUE NATIONALE - 75013 PARIS,48.8248108408, 2.36773548985,
10020,10020 - CHABROL,59 RUE CHABROL - 75010 PARIS,48.8771003511, 2.35122216805,
16015,16015 - RUE DE BASSANO,1 RUE DE BASSANO - 75016 PARIS,48.8681445105, 2.29614960099,
18112,18112 - HÔPITAL BICHAT,2 RUE ARTHUR RANC - 75018 PARIS,48.8980143432, 2.33365337616,
19005,19005 - RIQUET,56 AVENUE DE FLANDRE - 75019 PARIS,48.8880132814, 2.37375959552,
14124,14124 - PORTE D'ARCUEIL,AVENUE DAVID WEIL - 75014 PARIS,48.8211117705, 2.33378529043,
42009,42009 - VERDUN (IVRY),157-165 AVENUE DE VERDUN - 94200 IVRY,48.8072592806, 2.37513019905,
34008,34008 - GARIBALDI (SAINT OUEN),FACE AU 4 AVENUE GARIBALDI / AVENUE GABRIEL PERI - 93400 SAINT OUEN,48.9057350761, 2.33149745979,
20104,20104 - RUE LOUIS LUMIÈRE,68 RUE LOUIS LUMIERE - 75020 PARIS,48.8621619807, 2.41112578186,
